1;3
2;305
3;348
4;89
5;217
6;411
7;180
8;70
9;405
10;71
11;457
12;231
13;259
14;19
15;98
16;252
17;462
18;234
19;66
20;145
21;105
22;393
23;353
24;189
25;398
26;320
27;153
28;483
29;375
30;175
31;422
32;377
33;479
34;270
35;466
36;196
37;181
38;145
39;266
40;86
41;215
42;222
43;316
44;473
45;240
46;414
47;225
48;202
49;147
50;290
51;346
52;252
53;183
54;199
55;440
56;81
57;19
58;92
59;63
60;393
61;267
62;485
63;270
64;246
65;255
66;236
67;441
68;435
69;380
70;206
71;20
72;95
73;428
74;336
75;68
76;167
77;249
78;292
79;369
80;396
81;82
82;215
83;147
84;264
85;413
86;86
87;344
88;432
89;178
90;407
91;325
92;445
93;391
94;94
95;190
96;145
97;330
98;130
99;80
100;209
101;336
102;100
103;304
104;263
105;435
106;371
107;430
108;183
109;163
110;298
111;78
112;244
113;12
114;225
115;7
116;425
117;311
118;351
119;356
120;488
121;257
122;181
123;432
124;148
125;275
126;122
127;293
128;104
129;252
130;372
131;313
132;87
133;471
134;116
135;350
136;405
137;487
138;279
139;88
140;149
141;77
142;166
143;392
144;89
145;390
146;399
147;13
148;200
149;250
150;369
151;188
152;6
153;50
154;120
155;154
156;324
157;241
158;446
159;427
160;492
161;317
162;240
163;79
164;288
165;355
166;429
167;193
168;342
169;208
170;281
171;490
172;284
173;446
174;382
175;373
176;336
177;281
178;385
179;36
180;30
181;254
182;224
183;36
184;303
185;344
186;189
187;127
188;85
189;134
190;54
191;77
192;451
193;293
194;155
195;238
196;147
197;83
198;431
199;489
200;290
201;211
202;478
203;74
204;157
205;360
206;446
207;493
208;141
209;331
210;28
211;170
212;85
213;252
214;206
215;388
216;95
217;394
218;14
219;179
220;28
221;67
222;255
223;478
224;359
225;410
226;216
227;6
228;492
229;147
230;494
231;282
232;357
233;472
234;356
235;14
236;332
237;301
238;6
239;472
240;131
241;33
242;142
243;216
244;285
245;347
246;103
247;379
248;241
249;116
250;57
251;268
252;183
253;312
254;246
255;42
256;221
257;461
258;48
259;213
260;108
261;42
262;494
263;464
264;13
265;349
266;477
267;345
268;150
269;483
270;317
271;281
272;16
273;458
274;496
275;300
276;305
277;98
278;178
279;46
280;214
281;235
282;314
283;397
284;46
285;59
286;438
287;266
288;20
289;485
290;478
291;127
292;26
293;472
294;91
295;39
296;321
297;68
298;384
299;470
300;50
301;200
302;250
303;65
304;157
305;246
306;364
307;462
308;343
309;42
310;8
311;57
312;276
313;321
314;453
315;321
316;379
317;391
318;87
319;399
320;375
321;65
322;25
323;401
324;36
325;115
326;440
327;356
328;183
329;323
330;326
331;232
332;22
333;76
334;297
335;179
336;321
337;161
338;140
339;163
340;202
341;148
342;220
343;478
344;468
345;172
346;298
347;346
348;62
349;385
350;244
351;437
352;449
353;269
354;337
355;484
356;384
357;276
358;340
359;66
360;99
361;165
362;298
363;120
364;240
365;95
366;298
367;61
368;255
369;438
370;223
371;457
372;85
373;443
374;434
375;52
376;114
377;232
378;398
379;176
380;116
381;142
382;112
383;64
384;411
385;449
386;48
387;294
388;225
389;388
390;360
391;323
392;53
393;157
394;442
395;293
396;251
397;240
398;353
399;6
400;178
401;76
402;462
403;262
404;18
405;395
406;314
407;131
408;126
409;212
410;306
411;242
412;354
413;417
414;305
415;264
416;365
417;353
418;58
419;90
420;240
421;417
422;412
423;292
424;74
425;353
426;84
427;324
428;93
429;436
430;330
431;270
432;11
433;291
434;32
435;29
436;185
437;346
438;159
439;311
440;57
441;465
442;52
443;411
444;382
445;357
446;174
447;247
448;209
449;231
450;336
451;449
452;148
453;247
454;240
455;221
456;100
457;324
458;45
459;192
460;260
461;374
462;461
463;271
464;164
465;493
466;299
467;349
468;338
469;458
470;160
471;395
472;422
473;211
474;305
475;303
476;68
477;479
478;50
479;276
480;209
481;385
482;224
483;356
484;132
485;464
486;77
487;231
488;288
489;121
490;423
491;47
492;494
493;384
494;317
495;157
496;376
497;115
498;6
499;213
500;72
